latitude, longitude, showroom, location
17.534790266145, 78.48843650889464, croma, kompally
17.48564448750532, 78.41426820208633, croma, kukatpally
17.485427195766935, 78.39005802480963, croma, kukatpally
17.462515791179467, 78.50100480889462, croma, karkhana
17.45935208826976, 78.43327709527799, croma, sanath nagar
17.484733431677917, 78.55423132480963, croma, a s rao nagar
17.50541744838623, 78.36244512480962, croma, miyapur
17.44533056445803, 78.50605946344798, croma, marredpally
17.466914001464843, 78.36784414753298, croma, kondapur
17.49911531318485, 78.34073124753297, croma, madinaguda
17.43874773593691, 78.39988209527799, croma, jubilee hills
17.438911507315726, 78.40142704753296, croma, jubilee hills
17.42402054026085, 78.45463947936298, croma, panjagutta
17.461692554051105, 78.36429930208634, croma, gachibowli
17.44132471217874, 78.48806457936297, croma, ranigunj
17.49195919654176, 78.60200554753297, croma, nagaram
17.40096358185027, 78.48153346344797, croma, hyderguda
17.421103765413328, 78.36329352480965, croma, khajaguda
17.40958498068248, 78.38444576344799, croma, manikonda
17.4305478798232, 78.55083584072464, croma, nacharam
17.471662084234957, 78.31156445434128, croma, serilingampalle
17.243970608162176, 78.42909957291064, croma, shamshabad
17.430518052204082, 78.55011625017943, croma, nacharam
17.413557511977533, 78.60569297973865, croma, boduppal
17.492204781782508, 78.60226304110425, croma, nagaram
17.334819620502184, 78.55188505017944, croma, hastinapuram
17.34448247606866, 78.56191175700744, croma, vanasthalipuram
17.355788182586355, 78.54629057273748, croma, lb nagar
17.346976387120787, 78.53478453427626, croma, karmanghat
17.37155278600939, 78.52774641828651, croma, dilsukhnagar
17.359613098932805, 78.38042921154504, croma, bandlaguda
17.36198522642869, 78.42678197973865, croma, attapur
17.495980775921264, 78.40690035181903, vijay sales, kukatpally
17.467814658687953, 78.36645872744823, vijay sales, kondapur
17.497871392471946, 78.34821974110426, vijay sales, madinaguda
17.502361372796546, 78.31382523427624, vijay sales, bhel
17.405703057473097, 78.41087183427621, vijay sales, tolichowki
17.362032354599464, 78.38555457291064, vijay sales, bandlaguda
17.366964248522695, 78.42796081154502, vijay sales, attapur
17.40234935625308, 78.44632857766464, vijay sales, mehdipatnam
17.509719785566094, 78.47853927291064, vijay sales, kompally
17.447664016652336, 78.4682395909744, vijay sales, begumpet
17.352421882528642, 78.47166593427623, vijay sales, shalibanda
17.31838217148989, 78.44682691154503, vijay sales, bandlaguda
17.376574257878435, 78.50152325017942, vijay sales, malakpet
17.50757366402397, 78.47748099564184, vijay sales, kompally
